TOTS;Player;Squad;Born;Age;Nation;Nation2;MP;90s;Minutes;Pos1;Pos2;Starts;Gls;Ast;GAs;pensattempted;pensscored;nonpengoals;xpectedAssistedGoals;xpectedGoals;nonpenxG;ProgCarries;ProgPasses;ProgRuns;CrdY;CrdR;gls90;ast90;ga90;ganonpen90;nonpengoals90;xpectGoals90;xGaXG90;xAG90;nonpenxpecGoalsxAssistedGoals90;npxGxAG;npxG90;glcreatingaction;GCA90;foulsdrawn;Fouldrawngoal;defensiveactionsthatleadtoshotattempt;defactiongoal;PassDeadShotAttempt;PassDeaGoal;PassLiveShotAttempt;PassLiveGoal;shotcreatingactions;SCA90;succtakeon;TakeOnGoal;Sum of clearances;challengeslost;intercepts;errors;tackles;TklWon;shotsblocked;passsesblocked;percentdribblerstackled;crossesfaced;crossesstopped;crossstopperc;defactionsoutsidepenarea;defactionoutsidepen90;passesattemtedover40yards;passescompetedover40yards;AvgDistofdefensiveactionsfromgoal;AvgLenpassinYards;OG;PSxG;PSxGallowed90;PSxGperShotonTarget;PSxGminusgoalsallowed;GA;PKA;Touches;DefPenTouches;Def3rdTouches;Mid3rdTouches;Att3rdTouches;AttPenaltyareatouches;LiveBallTouches;Carries;Miscontrols;TakeOnAttempted;TakeOnSucc;TakeOnSuccPercen;TkldDurTakeOn;TotDistYards;TkldPercen;PassesReceived;ProgPassesReceived;Dispossessed
No;Kai Havertz;Arsenal;1999;25;de GER;de;23;20.8;1875;FW;MF;21;9;3;12;0;0;9;2.4;9.5;9.5;35;61;113;5;0;0.43;0.14;0.58;0.58;0.43;0.46;0.57;0.12;0.57;12;0.46;3;0.14;0;0;0;0;0;0;35;2;42;2.02;1;0;33;11;6;1;16;9;4;19;26,7;;;;;;;;;;;;;;;;;785;31;92;287;411;107;785;418;44;38;9;23.7;24;2012;63.2;584;113;23
No;Kalvin Phillips;Ipswich Town;1995;28;eng ENG;eng;19;13.7;1237;MF;;14;0;0;0;0;0;0;0.2;0.4;0.4;4;51;4;6;1;0;0;0;0;0;0.03;0.05;0.02;0.05;0.7;0.03;3;0.22;0;0;0;0;3;0;13;3;17;1.24;0;0;37;24;19;2;35;19;6;29;38,5;;;;;;;;;;;;;;;;;739;61;223;398;122;5;739;310;25;12;5;41.7;6;1489;50;394;4;10
No;Kamaldeen Sulemana;Southampton;2002;22;gh GHA;gh;26;15.6;1402;FW;MF;17;1;1;2;0;0;1;1;1.5;1.5;63;27;87;2;0;0.06;0.06;0.13;0.13;0.06;0.1;0.16;0.06;0.16;2.5;0.1;3;0.19;1;0;0;0;1;0;15;1;30;1.93;10;1;9;5;6;0;22;17;4;12;66,7;;;;;;;;;;;;;;;;;587;17;92;219;301;59;587;380;50;103;39;37.9;56;3283;54.4;410;87;25
No;Kaoru Mitoma;Brighton;1997;27;jp JPN;jp;36;28.9;2603;FW;MF;28;10;4;14;0;0;10;4.6;9.2;9.2;146;89;291;1;0;0.35;0.14;0.48;0.48;0.35;0.32;0.48;0.16;0.48;13.8;0.32;10;0.35;4;1;1;0;0;0;73;9;87;3.01;6;0;10;30;14;0;45;27;3;45;38,8;;;;;;;;;;;;;;;;;1375;17;155;468;782;164;1375;830;53;131;52;39.7;74;6659;56.5;966;291;23
No;Kasey McAteer;Leicester City;2001;22;ie IRL;ie;18;9.5;852;FW;;9;1;1;2;0;0;1;0.7;1;1;19;14;71;3;0;0.11;0.11;0.21;0.21;0.11;0.11;0.18;0.08;0.18;1.7;0.11;2;0.21;2;1;0;0;0;0;18;1;20;2.11;0;0;15;15;5;0;23;16;2;16;48,3;;;;;;;;;;;;;;;;;379;21;76;141;169;30;379;224;20;25;6;24;15;1455;60;243;71;16
No;Keane Lewis-Potter;Brentford;2001;23;eng ENG;eng;38;34.4;3093;DF;FW;36;1;3;4;0;0;1;3.2;3.1;3.1;98;98;156;7;0;0.03;0.09;0.12;0.12;0.03;0.09;0.18;0.09;0.18;6.3;0.09;8;0.23;6;2;1;0;0;0;56;6;71;2.07;5;0;76;19;21;3;49;27;10;18;62;;;;;;;;;;;;;;;;;1613;102;504;625;505;74;1613;868;51;101;41;40.6;50;6085;49.5;966;156;20
No;Kenny Tete;Fulham;1995;28;nl NED;nl;22;19.7;1774;DF;;21;0;2;2;0;0;0;0.9;1.4;1.4;34;63;54;5;0;0;0.1;0.1;0.1;0;0.07;0.12;0.05;0.12;2.3;0.07;4;0.2;2;0;1;0;0;0;28;4;36;1.83;2;0;67;15;32;0;56;38;12;19;60,5;;;;;;;;;;;;;;;;;1205;79;402;484;329;37;1205;611;17;20;9;45;6;2851;30;695;54;10
No;Kepa Arrizabalaga;Bournemouth;1994;29;es ESP;es;31;31;2790;GK;;31;0;0;0;0;0;0;0;0.1;0.1;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;2;0;2;0;4;0.13;0;0;15;2;0;3;1;0;0;2;0;367;22;6;54;1.74;365;132;16;32.9;0;41;0.07;0.28;2;39;4;1087;800;1057;29;1;1;1087;621;0;1;1;100;0;3129;0;486;0;0
No;Kevin Danso;Tottenham;1998;25;at AUT;at;10;9.4;842;DF;;9;0;0;0;0;0;0;0.1;0.4;0.4;11;19;1;0;0;0;0;0;0;0;0.04;0.05;0.01;0.05;0.5;0.04;2;0.21;0;0;0;0;0;0;8;2;9;0.96;0;0;71;5;6;1;7;5;14;1;54,5;;;;;;;;;;;;;;;;;676;108;394;257;29;8;676;448;8;3;2;66.7;1;2428;33.3;475;1;3
No;Kevin De Bruyne;Manchester City;1991;33;be BEL;be;28;18.9;1702;MF;FW;19;4;7;11;0;0;4;8;5.1;5.1;51;157;150;2;0;0.21;0.37;0.58;0.58;0.21;0.27;0.69;0.42;0.69;13.1;0.27;11;0.58;3;0;2;0;26;1;73;9;113;5.97;3;0;10;18;7;1;17;9;0;8;21,7;;;;;;;;;;;;;;;;;1368;10;75;455;850;79;1368;812;26;34;13;38.2;17;4001;50;1021;150;28
